;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1980-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1981-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1982-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1983-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1984-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1985-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1986-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1987-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1988-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1989-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1990-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1991-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1992-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1993-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1994-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1995-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1996-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1997-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1998-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1999-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"2000-01-01 00:00:00";0;0;0;0,042857141967;0;0;0;0;;0;0;0
"2001-01-01 00:00:00";0;0;0;0,042857141967;0;0;0;0;;0;0;0
"2002-01-01 00:00:00";0;0;0;0,04571428523;0;0;0;0;;0;0;0
"2003-01-01 00:00:00";0;0;0;0,04571428523;0;0;0;0;;0;0;0
"2004-01-01 00:00:00";0;0;0;0,04571428523;0;0;0;0;;0;0;0
"2005-01-01 00:00:00";0;0;0;0,051428570593;0;0;0;0;;0;0;0
"2006-01-01 00:00:00";0;0;0;0,0114285711912;0;0;0;0;;0;0;0
"2007-01-01 00:00:00";0;0;0;0,051428570593;0;0;0;0;;0;0;0
"2008-01-01 00:00:00";0;0;0;0,27142858091;0;0;0;0;;0;0;0
"2009-01-01 00:00:00";0;0;0;0,24857143248;0;0;0;0;;0;0;0
"2010-01-01 00:00:00";0;0;0;0,35142857134;0;0;0;0;;0;0;0
"2011-01-01 00:00:00";0;0;0;0,42857140804;0;0;0;0;;0;0;0
"2012-01-01 00:00:00";0;0;0;0,33142857664;0;0;0;0;;0;0;0
"2013-01-01 00:00:00";0;0;0;0,29714285981;0;0;0;0;;0;0;0
"2014-01-01 00:00:00";0;0;0;0,51428570593;0;0;0;0;;0;0;0
"2015-01-01 00:00:00";0;0;0;0,54285716182;0;0;0;0;;0;0;0
"2016-01-01 00:00:00";0;0;0;0,62857141319;0;0;0;0;;0;0;0
